CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
37683386039424,0634320,05440,Active,San Diego,San Diego Unified,Crown Point Elementary,4033 Ingraham Street,4033 Ingraham St.,San Diego,92109-5946,CA,4033 Ingraham Street,4033 Ingraham St.,San Diego,92109-5946,CA,(858) 987-5500,No Data,(858) 987-5549,http://www.crownpoint.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,Y,N,No Data,32.793243,-117.23889,Sakeenah,Smith,2024-09-19,N
37683386039432,0634320,05441,Active,San Diego,San Diego Unified,Cubberley Elementary,3201 Marathon Drive,3201 Marathon Dr.,San Diego,92123-2638,CA,3201 Marathon Drive,3201 Marathon Dr.,San Diego,92123-2638,CA,(619) 605-3900,No Data,(858) 496-8325,http://www.cubberley.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.801667,-117.12714,Magdalena,Ruvalcaba,2024-09-19,N
37683386039440,0634320,05442,Active,San Diego,San Diego Unified,Curie Elementary,4080 Governor Drive,4080 Governor Dr.,San Diego,92122-2523,CA,4080 Governor Drive,4080 Governor Dr.,San Diego,92122-2523,CA,(858) 221-5500,No Data,(858) 221-5510,http://www.curie.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.854678,-117.20303,Ashley,Duren,2023-02-09,N
37683386039457,0634320,01220,Active,San Diego,San Diego Unified,Darnall Charter,6020 Hughes Street,6020 Hughes St.,San Diego,92115-6520,CA,6020 Hughes Street,6020 Hughes St.,San Diego,92115-6520,CA,(619) 582-1822,No Data,(619) 287-4732,http://www.darnallcharter.org/,1980-07-01 00:00:00,No Data,Y,0033,Directly funded,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0602364,32.746606,-117.06676,Anne,Mathews,2025-06-16,Y
37683386039465,0634320,No Data,Closed,San Diego,San Diego Unified,De Anza Elem.,6525 Estrella Avenue,6525 Estrella Ave.,San Diego,92120,CA,6525 Estrella Avenue,6525 Estrella Ave.,San Diego,92120,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039473,0634320,No Data,Closed,San Diego,San Diego Unified,Decatur Elementary,6550 Soledad Mtn. Road,6550 Soledad Mtn. Rd.,La Jolla,92037,CA,6550 Soledad Mtn. Road,6550 Soledad Mtn. Rd.,La Jolla,92037,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039481,0634320,05447,Active,San Diego,San Diego Unified,Dewey Elementary,3251 Rosecrans Street,3251 Rosecrans St.,San Diego,92110-4835,CA,3251 Rosecrans Street,3251 Rosecrans St.,San Diego,92110-4835,CA,(619) 430-1800,No Data,(619) 430-1849,http://www.dewey.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-4,K-4,N,N,N,No Data,32.747540,-117.20804,Tanya,McMillin,2023-02-09,N
37683386039499,0634320,05449,Active,San Diego,San Diego Unified,Edison Elementary,4077 35th Street,4077 35th St.,San Diego,92104-2291,CA,4077 35th Street,4077 35th St.,San Diego,92104-2291,CA,(619) 344-5400,No Data,(619) 344-5449,http://www.edison.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.751057,-117.11804,Jamie,Lee,2022-10-18,Y
37683386039507,0634320,05451,Active,San Diego,San Diego Unified,Ralph Waldo Emerson Elementary,3510 Newton Avenue,3510 Newton Ave.,San Diego,92113-3118,CA,3510 Newton Avenue,3510 Newton Ave.,San Diego,92113-3118,CA,(619) 344-6200,No Data,(619) 344-6249,http://emerson.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.695014,-117.11874,Veronica,Reyes,2024-09-11,N
37683386039515,0634320,05452,Active,San Diego,San Diego Unified,Encanto Elementary,822 65th Street,822 65th St.,San Diego,92114-2818,CA,822 65th Street,822 65th St.,San Diego,92114-2818,CA,(619) 344-6700,No Data,(619) 344-6749,http://www.encanto.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.714909,-117.05804,Audra,Mandler,2022-10-18,Y
37683386039523,0634320,05454,Active,San Diego,San Diego Unified,Euclid Elementary,4166 Euclid Avenue,4166 Euclid Ave.,San Diego,92105-1910,CA,4166 Euclid Avenue,4166 Euclid Ave.,San Diego,92105-1910,CA,(619) 344-5600,No Data,(619) 344-5649,http://www.euclid.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.752319,-117.09226,Jose,Valdez,2023-02-09,N
37683386039531,0634320,No Data,Closed,San Diego,San Diego Unified,Fairhaven Elementary,3230 McCandless Boulevard,3230 McCandless Blvd.,San Diego,92113,CA,3230 McCandless Boulevard,3230 McCandless Blvd.,San Diego,92113,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039549,0634320,No Data,Closed,San Diego,San Diego Unified,Farnum Elementary,4275 Cass Street,4275 Cass St.,San Diego,92109,CA,4275 Cass Street,4275 Cass St.,San Diego,92109,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039556,0634320,05458,Active,San Diego,San Diego Unified,Field Elementary,4375 Bannock Avenue,4375 Bannock Ave.,San Diego,92117-2810,CA,4375 Bannock Avenue,4375 Bannock Ave.,San Diego,92117-2810,CA,(858) 800-5900,No Data,(858) 800-5949,http://www.field.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.832971,-117.19927,Olga,West,2024-09-11,Y
37683386039564,0634320,05459,Active,San Diego,San Diego Unified,Fletcher Elementary,7666 Bobolink Way,7666 Bobolink Way,San Diego,92123-3701,CA,7666 Bobolink Way,7666 Bobolink Way,San Diego,92123-3701,CA,(619) 605-4600,No Data,No Data,http://www.fletcher.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.785778,-117.15850,Michelle,Radley,2025-03-14,N
37683386039572,0634320,05460,Active,San Diego,San Diego Unified,Florence Elementary,3914 First Avenue,3914 First Ave.,San Diego,92103-3089,CA,3914 First Avenue,3914 First Ave.,San Diego,92103-3089,CA,(619) 344-5900,No Data,(619) 344-5949,http://www.florence.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.748814,-117.16391,Alexis,Conerty,2023-02-09,N
37683386039580,0634320,No Data,Closed,San Diego,San Diego Unified,Forward Elementary,6460 Boulder Lake Avenue,6460 Boulder Lake Ave.,San Diego,92119,CA,6460 Boulder Lake Avenue,6460 Boulder Lake Ave.,San Diego,92119,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039598,0634320,05462,Active,San Diego,San Diego Unified,Foster Elementary,6550 51st Street,6550 51st St.,San Diego,92120-2794,CA,6550 51st Street,6550 51st St.,San Diego,92120-2794,CA,(619) 510-4100,No Data,(619) 583-6812,http://www.foster.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.791734,-117.08410,Leah,Saunders,2023-02-09,N
37683386039606,0634320,05463,Active,San Diego,San Diego Unified,Franklin Elementary,4481 Copeland Avenue,4481 Copeland Ave.,San Diego,92116-4802,CA,4481 Copeland Avenue,4481 Copeland Ave.,San Diego,92116-4802,CA,(619) 344-3000,No Data,(619) 344-3040,http://www.franklin.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,Y,N,No Data,32.758060,-117.10400,Melissa,Roy-Wood,2023-02-09,N
37683386039614,0634320,05464,Active,San Diego,San Diego Unified,Freese Elementary,8140 Greenlawn Drive,8140 Greenlawn Dr.,San Diego,92114-7309,CA,8140 Greenlawn Drive,8140 Greenlawn Dr.,San Diego,92114-7309,CA,(619) 344-3100,No Data,(619) 344-3140,http://www.freese.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,Y,N,No Data,32.703611,-117.02741,Bryan,Golojuch-Galasso,2025-03-14,N
37683386039622,0634320,05465,Closed,San Diego,San Diego Unified,Fremont Elementary,2375 Congress Street,2375 Congress St.,San Diego,92110-2818,CA,2375 Congress Street,2375 Congress St.,San Diego,92110-2818,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2002-06-17 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,K-5,K-5,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-01-30,No Data
37683386039630,0634320,05466,Active,San Diego,San Diego Unified,Fulton K-8,7055 Skyline Drive,7055 Skyline Dr.,San Diego,92114-5930,CA,7055 Skyline Drive,7055 Skyline Dr.,San Diego,92114-5930,CA,(619) 344-3200,No Data,(619) 527-4172,http://www.fulton.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-8,K-8,N,N,N,No Data,32.702667,-117.04741,Gilbert,Gutierrez,2025-03-14,N
37683386039648,0634320,05467,Active,San Diego,San Diego Unified,Gage Elementary,6811 Bisby Lake Avenue,6811 Bisby Lake Ave.,San Diego,92119-1918,CA,6811 Bisby Lake Avenue,6811 Bisby Lake Ave.,San Diego,92119-1918,CA,(858) 988-2100,No Data,(619) 463-0534,http://www.gage.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.806947,-117.01474,Kathy,Burns,2025-03-14,Y
37683386039655,0634320,08304,Active,San Diego,San Diego Unified,Garfield Elementary,4487 Oregon Street,4487 Oregon St.,San Diego,92116-3018,CA,4487 Oregon Street,4487 Oregon St.,San Diego,92116-3018,CA,(619) 362-4300,No Data,(619) 362-4349,http://www.garfield.sandiegounified.org/,1999-09-07 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.758300,-117.13512,Mechale,Murphy,2023-02-09,N
37683386039663,0634320,No Data,Closed,San Diego,San Diego Unified,Gershwin Elem.,3505 Conrad Avenue,3505 Conrad Ave.,San Diego,92117,CA,3505 Conrad Avenue,3505 Conrad Ave.,San Diego,92117,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039671,0634320,05469,Active,San Diego,San Diego Unified,Grant K-8,1425 Washington Place,1425 Washington Pl.,San Diego,92103-1792,CA,1425 Washington Place,1425 Washington Pl.,San Diego,92103-1792,CA,(619) 293-4420,No Data,(619) 297-8404,http://www.grant.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,32.749893,-117.17562,Michele,Cain,2023-02-09,N
37683386039689,0634320,No Data,Closed,San Diego,San Diego Unified,Grantville Elementary,6145 Decena Drive,6145 Decena Dr.,San Diego,92120,CA,6145 Decena Drive,6145 Decena Dr.,San Diego,92120,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1989-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37683386039697,0634320,05471,Active,San Diego,San Diego Unified,Green Elementary,7030 Wandermere Place,7030 Wandermere Pl.,San Diego,92119-2969,CA,7030 Wandermere Place,7030 Wandermere Pl.,San Diego,92119-2969,CA,(619) 510-4200,No Data,(619) 465-8814,http://www.green.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.796445,-117.04495,Sarah,Motsinger,2025-03-17,N
37683386039705,0634320,05473,Active,San Diego,San Diego Unified,Hamilton Elementary,2807 Fairmount Avenue,2807 Fairmount Ave.,San Diego,92105-4635,CA,2807 Fairmount Avenue,2807 Fairmount Ave.,San Diego,92105-4635,CA,(619) 344-6800,No Data,(619) 344-6849,http://www.hamilton.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.736135,-117.10096,Brittany,Daley,2022-10-18,Y
37683386039713,0634320,05475,Active,San Diego,San Diego Unified,Hardy Elementary,5420 Montezuma Road,5420 Montezuma Rd.,San Diego,92115-1329,CA,5420 Montezuma Road,5420 Montezuma Rd.,San Diego,92115-1329,CA,(619) 860-5700,No Data,(619) 286-2016,http://www.hardy.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.771216,-117.07974,Kristy,Aragon,2024-10-23,N
37683386039721,0634320,05476,Active,San Diego,San Diego Unified,Hawthorne Elementary,4750 Lehrer Drive,4750 Lehrer Dr.,San Diego,92117-1358,CA,4750 Lehrer Drive,4750 Lehrer Dr.,San Diego,92117-1358,CA,(858) 634-5701,No Data,(858) 634-5749,http://www.hawthorne.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.838493,-117.18864,Lauren,Robinson,2024-09-12,N
37683386039739,0634320,05477,Active,San Diego,San Diego Unified,Hearst Elementary,6230 Del Cerro Boulevard,6230 Del Cerro Blvd.,San Diego,92120-4604,CA,6230 Del Cerro Boulevard,6230 Del Cerro Blvd.,San Diego,92120-4604,CA,(619) 860-5400,No Data,(619) 287-9921,http://www.hearst.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.782889,-117.06432,Barbara,Waller,2025-03-19,N
37683386039747,0634320,05481,Active,San Diego,San Diego Unified,Holmes Elementary,4902 Mount Ararat Drive,4902 Mt. Ararat Dr.,San Diego,92111-3808,CA,4902 Mount Ararat Drive,4902 Mt. Ararat Dr.,San Diego,92111-3808,CA,(619) 605-4400,No Data,(858) 496-8734,http://www.holmes.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.810047,-117.18916,Jonathan,Saipe,2025-03-19,N
37683386039754,0634320,05483,Active,San Diego,San Diego Unified,Horton Elementary,5050 Guymon Street,5050 Guymon St.,San Diego,92102-3734,CA,5050 Guymon Street,5050 Guymon St.,San Diego,92102-3734,CA,(619) 344-3700,No Data,(619) 344-3749,http://www.horton.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.712278,-117.08621,Danielle,Garegnani,2023-02-09,N
37683386039762,0634320,05484,Active,San Diego,San Diego Unified,Fay Elementary,4080 52nd Street,4080 52nd St.,San Diego,92105-2209,CA,4080 52nd Street,4080 52nd St.,San Diego,92105-2209,CA,(619) 624-2600,No Data,(619) 624-2690,http://www.fay.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.750942,-117.08361,Ana,Gray,2022-10-18,Y
37683386039770,0634320,05485,Active,San Diego,San Diego Unified,Jefferson Elementary,3770 Utah Street,3770 Utah St.,San Diego,92104-3532,CA,3770 Utah Street,3770 Utah St.,San Diego,92104-3532,CA,(619) 344-3300,No Data,(619) 344-3340,http://www.jefferson.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,Y,N,No Data,32.747220,-117.13284,Francisco,Morga,2023-02-09,N
37683386039788,0634320,05488,Active,San Diego,San Diego Unified,Johnson Elementary,1355 Kelton Road,1355 Kelton Rd.,San Diego,92114-1229,CA,1355 Kelton Road,1355 Kelton Rd.,San Diego,92114-1229,CA,(619) 344-4900,No Data,(619) 344-4949,http://www.johnson.sandiegounified.org,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,Y,N,No Data,32.719126,-117.07514,Tracey,Jenkins-Martin,2023-02-09,N
37683386039796,0634320,05489,Active,San Diego,San Diego Unified,Jones Elementary,2751 Greyling Drive,2751 Greyling Dr.,San Diego,92123-2836,CA,2751 Greyling Drive,2751 Greyling Dr.,San Diego,92123-2836,CA,(619) 605-8800,No Data,(858) 571-2877,http://www.jones.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.796255,-117.14242,Allison,Buell,2025-03-19,N
37683386039804,0634320,05490,Active,San Diego,San Diego Unified,Juarez Elementary,2633 Melbourne Drive,2633 Melbourne Dr.,San Diego,92123-3535,CA,2633 Melbourne Drive,2633 Melbourne Dr.,San Diego,92123-3535,CA,(858) 935-2800,No Data,(858) 627-7410,http://www.juarez.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.792242,-117.12589,Laura,Lemos,2022-10-19,Y
37683386039812,0634320,05492,Active,San Diego,San Diego Unified,Keiller Leadership Academy,7270 Lisbon Street,7270 Lisbon St.,San Diego,92114-3007,CA,7270 Lisbon Street,7270 Lisbon St.,San Diego,92114-3007,CA,(619) 263-9266,No Data,(619) 262-2217,http://www.mykla.org/,1980-07-01 00:00:00,No Data,Y,0695,Directly funded,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601545,32.712076,-117.04241,Joel,Christman,2023-02-09,N
37683386039820,0634320,05493,Closed,San Diego,San Diego Unified,Kennedy Elementary,445 South 47th Street,445 South 47th St.,San Diego,92113-2007,CA,445 South 47th Street,445 South 47th St.,San Diego,92113-2007,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2005-09-06 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,K-6,K-6,No Data,No Data,Y,No Data,No Data,No Data,No Data,No Data,2009-01-30,No Data
37683386039838,0634320,05494,Closed,San Diego,San Diego Unified,Knox Elementary,1098 South 49th Street,1098 South 49th St.,San Diego,92113-3599,CA,1098 South 49th Street,1098 South 49th St.,San Diego,92113-3599,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2011-07-21 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,No Data,No Data,Y,No Data,32.695229,-117.08945,No Data,No Data,2013-07-02,No Data
37683386039846,0634320,05495,Active,San Diego,San Diego Unified,La Jolla Elementary,1111 Marine Street,1111 Marine St.,La Jolla,92037-5131,CA,1111 Marine Street,1111 Marine St.,La Jolla,92037-5131,CA,(619) 605-3300,No Data,(858) 569-7418,http://www.lajolla.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.839513,-117.27086,Stephanie,Hasselbrink,2025-03-19,N
37683386039853,0634320,05497,Active,San Diego,San Diego Unified,Lafayette Elementary,6125 Printwood Way,6125 Printwood Way,San Diego,92117-3346,CA,6125 Printwood Way,6125 Printwood Way,San Diego,92117-3346,CA,(858) 987-5000,No Data,(858) 987-5049,http://www.lafayette.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.827552,-117.16914,Anne,McCarty,2024-09-12,N
37683386039861,0634320,05498,Active,San Diego,San Diego Unified,Pacific View Leadership Elementary,6196 Childs Avenue,6196 Childs Ave.,San Diego,92139-3612,CA,6196 Childs Avenue,6196 Childs Ave.,San Diego,92139-3612,CA,(619) 430-1600,No Data,(619) 430-1649,http://www.pacificview.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.670197,-117.05710,Erika,Simmons,2024-09-12,N
37683386039879,0634320,05501,Active,San Diego,San Diego Unified,Linda Vista Elementary,2772 Ulric Street,2772 Ulric St.,San Diego,92111-5530,CA,2772 Ulric Street,2772 Ulric St.,San Diego,92111-5530,CA,(858) 800-5450,No Data,(858) 800-5499,http://www.lindavista.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,32.793449,-117.17314,Nina,Dixon-Mauricia,2022-10-28,Y
37683386039887,0634320,05502,Active,San Diego,San Diego Unified,Clairemont Canyons Academy,4133 Mount Albertine Avenue,4133 Mt. Albertine Ave.,San Diego,92111-3128,CA,4133 Mount Albertine Avenue,4133 Mt. Albertine Ave.,San Diego,92111-3128,CA,(619) 605-1350,No Data,(858) 292-0746,http://clairemontcanyonsacademy.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,Y,N,No Data,32.819448,-117.17152,Victoria,Peterson,2025-03-19,N
37683386039895,0634320,05503,Closed,San Diego,San Diego Unified,Logan K-8,2875 Ocean View Boulevard,2875 Ocean View Blvd.,San Diego,92113-1399,CA,2875 Ocean View Boulevard,2875 Ocean View Blvd.,San Diego,92113-1399,CA,No Data,No Data,No Data,Information Not Available,1980-07-01 00:00:00,2020-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,No Data,32.701099,-117.13185,No Data,No Data,2020-08-24,Y
37683386039903,0634320,05504,Active,San Diego,San Diego Unified,Loma Portal Elementary,3341 Browning Street,3341 Browning St.,San Diego,92106-1599,CA,3341 Browning Street,3341 Browning St.,San Diego,92106-1599,CA,(619) 223-1683,No Data,(619) 224-1352,http://www.lomaportal.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-4,K-4,N,N,N,No Data,32.740347,-117.22110,Marc,Morici,2023-02-09,N
37683386039911,0634320,05505,Active,San Diego,San Diego Unified,Longfellow UTK-8,5055 July Street,5055 July St.,San Diego,92110-1114,CA,5055 July Street,5055 July St.,San Diego,92110-1114,CA,(619) 605-8300,No Data,(619) 276-7008,http://www.sandiegounified.org/schools/longfellow,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,Y,N,No Data,32.783766,-117.18851,Laura,Alluin,2024-08-07,Y
37683386039929,0634320,05506,Active,San Diego,San Diego Unified,Perkins K-8,1770 Main Street,1770 Main St.,San Diego,92113-2104,CA,1110 Beardsley,1110 Beardsley,San Diego,92113,CA,(619) 344-5300,No Data,(619) 344-5349,http://www.perkins.sandiegounified.org/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-8,K-8,N,N,N,No Data,32.700764,-117.14913,Fernando,Hernandez,2023-02-09,N
