ANCHORNAME,ADDRESS,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,FULLFIPSID,CAIID,CAIType,ConProvide,ConType,ConMedium,ConSpeed,geometry,index_right,BlockCode,DBA,FRN,TechCode,Consumer,MaxAdDn,MaxAdUp,MaxDnTier,MaxUpTier,Shape_Leng,Shape_Area,has_coverage
Fairfield High,205 East Atlantic Avenue,Fairfield,CA,94533,1626,38.276688,-122.03104,1,Y,U,http://www.fsusd.org,060952523143014,48705404833000,Public Schools,Comcast,Terrestrial Point-to-Multipoint,Fiber Optic,3000000,POINT Z (-122.03103999999996 38.276688000000036 0),,,,,,,,,,,,,False
Travis Education Center,2775 DeRonde Drive,Fairfield,CA,94533,9710,38.282956,-121.96051,1,U,U,http://www.travisusd.org/domain/15,060952523173018,48705654830022,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.96050999999994 38.28295600000007 0),,,,,,,,,,,,,False
Travis Community Day,2785 De Ronde Drive,Fairfield,CA,94533,4533,38.28298,-121.96051,1,U,U,http://www.travisusd.org/domain/15,060952523173018,48705654830154,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.96050999999994 38.282980000000066 0),,,,,,,,,,,,,False
Travis Independent Study,2751 De Ronde Drive,Fairfield,CA,94533,9710,38.282898,-121.96051,1,U,U,No Data,060952523173018,48705654830162,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.96050999999994 38.282898000000046 0),,,,,,,,,,,,,False
Center Elementary,3101 Markeley Lane,Fairfield,CA,94533,6676,38.28216,-121.95544,1,Y,U,http://www.travisusd.org/domain/9,060952528011000,48705656051254,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.95543999999995 38.28216000000003 0),,,,,,,,,,,,,False
Golden West Middle,2651 De Ronde Drive,Fairfield,CA,94533,9709,38.282658,-121.96051,1,U,U,http://www.travisusd.org/domain/13,060952523173018,48705656051262,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-121.96050999999994 38.282658000000026 0),,,,,,,,,,,,,False
Buckingham Collegiate Charter Academy,100 McClellan Street,Vacaville,CA,95688,5413,38.358348,-121.98383,1,Y,U,http://buckingham.vacavilleusd.org,060952532033000,48705734830113,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.98382999999995 38.358348000000035 0),,,,,,,,,,,,,False
Lincoln Elementary,620 Carolina Street,Vallejo,CA,94590,5504,38.104101,-122.25442,1,Y,U,No Data,060952509001013,48705816051494,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.25441999999998 38.10410100000007 0),,,,,,,,,,,,,False
Solano Widenmann Leadership Academy,1025 Corcoran Avenue,Vallejo,CA,94589,1844,38.153822,-122.23991,1,Y,U,No Data,060952519023000,48705816071302,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.23990999999995 38.15382200000005 0),,,,,,,,,,,,,False
Joseph H. Wardlaw Elementary,1698 Oakwood Avenue,Vallejo,CA,94591,4145,38.120332,-122.21037,1,Y,U,No Data,060952501041000,48705816110134,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.21036999999995 38.120332000000076 0),,,,,,,,,,,,,False
Fort Ross Elementary,30600 Seaview Road,Cazadero,CA,95421,9636,38.55617,-123.26665,1,Y,U,http://www.fortrossschool.org,060971543071031,49706986051726,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-123.26664999999997 38.556170000000066 0),,,,,,,,,,,,,False
Horicon Elementary,35555 Annapolis Road,Annapolis,CA,95412,9713,38.709318,-123.33699,1,Y,U,http://horiconsd.org/,060971543041026,49707636051809,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-123.33698999999996 38.70931800000005 0),,,,,,,,,,,,,False
Old Adobe Elementary Charter,2856 Adobe Road,Petaluma,CA,94954,9536,38.26197,-122.59788,1,Y,U,http://www.oldadobe.org,060971506121000,49708476051924,Public Schools,Local ISP,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-122.59787999999998 38.261970000000076 0),,,,,,,,,,,,,False
Carpe Diem High (Continuation),201 Fair Street,Petaluma,CA,94952,2516,38.227894,-122.64617,1,Y,U,No Data,060971508004000,49708624930103,Public Schools,Local ISP,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-122.64616999999998 38.22789400000005 0),,,,,,,,,,,,,False
Petaluma High,201 Fair Street,Petaluma,CA,94952,2516,38.227913,-122.64619,1,Y,U,http://216.82.92.50,060971508004000,49708624935151,Public Schools,Local ISP,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-122.64618999999999 38.22791300000006 0),,,,,,,,,,,,,False
Kashia Elementary,PO Box 129,Stewarts Point,CA,95480,0129,38.6564,-123.3389,1,Y,U,No Data,060971543041156,49708886052013,Public Schools,"GeoLinks, formerly California Internet",Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-123.33889999999997 38.656400000000076 0),,,,,,,,,,,,,False
Two Rock Elementary,5001 Spring Hill Road,Petaluma,CA,94952,9639,38.255671,-122.77843,1,Y,U,No Data,060971511001032,49709796052310,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.77842999999996 38.25567100000006 0),,,,,,,,,,,,,False
West Side Elementary,1201 Felta Road,Healdsburg,CA,95448,9476,38.579663,-122.88363,1,Y,U,http://westsideusd.org,060971540002011,49710016052336,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.88362999999998 38.57966300000004 0),,,,,,,,,,,,,False
Stanislaus County West Campus,108 Campus Way,Modesto,CA,95358,5358,37.660477,-121.04147,1,Y,U,http://www.stancoe.org,060990006021021,50105045030069,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.04146999999995 37.66047700000007 0),,,,,,,,,,,,,False
La Rosa Elementary,PO Box 307,Ceres,CA,95307,5053,37.5929,-120.9265,1,Y,U,http://www.ceres.k12.ca.us,060990030041003,50710430110734,Public Schools,Conterra,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-120.92649999999998 37.59290000000004 0),,,,,,,,,,,,,False
Cesar Chavez Junior High,PO Box 307,Ceres,CA,95307,5054,37.59225,-120.92642,1,Y,U,http://www.ceres.k12.ca.us,060990030041003,50710430123679,Public Schools,Conterra,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-120.92641999999995 37.592250000000035 0),,,,,,,,,,,,,False
Bernard L. Hughes Elementary,512 North McClure Road,Modesto,CA,95357,1542,37.64579,-120.93008,1,Y,U,http://web.empire.k12.ca.us/hughes/hughes/htm.,060990020061008,50710766107932,Public Schools,AT&T,Unknown/Did not provide,Unknown/Did not provide,100000,POINT Z (-120.93007999999998 37.645790000000034 0),,,,,,,,,,,,,False
Alice N. Stroud Elementary,815 Frazine Road,Modesto,CA,95357,0255,37.653024,-120.91195,1,Y,U,http://web.empire.k12.ca.us/stroud/default.htm,060990020022002,50710766111892,Public Schools,AT&T,Unknown/Did not provide,Unknown/Did not provide,100000,POINT Z (-120.91194999999999 37.65302400000007 0),,,,,,,,,,,,,False
Burbank Elementary,1135 Paradise Road,Modesto,CA,95351,2999,37.619197,-121.02458,1,Y,U,No Data,060990016034012,50711676052641,Public Schools,Wave,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-121.02457999999996 37.61919700000004 0),,,,,,,,,,,,,False
El Vista Elementary,450 El Vista Avenue,Modesto,CA,95354,1802,37.644085,-120.95572,1,Y,U,No Data,060990020043004,50711676052658,Public Schools,Wave,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-120.95571999999999 37.644085000000075 0),,,,,,,,,,,,,False
Fairview Elementary,1937 West Whitmore Avenue,Modesto,CA,95358,9424,37.595446,-121.0219,1,Y,U,No Data,060990024022005,50711676052682,Public Schools,Wave,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-121.02189999999996 37.59544600000004 0),,,,,,,,,,,,,False
Shasta Adult Education,"2200 Eureka Way, Suite B",Redding,CA,96001,6001,40.587313,-122.4045,1,Y,U,No Data,060890106021035,45701364530093,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.40449999999998 40.58731300000005 0),,,,,,,,,,,,,False
Peter Johansen High,641 Norseman Drive,Modesto,CA,95357,0405,37.648373,-120.91708,1,Y,U,No Data,060990020022006,50711755030135,Public Schools,Wave,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-120.91707999999994 37.64837300000005 0),,,,,,,,,,,,,False
Del Puerto High,640 M Street,Patterson,CA,95363,2215,37.476276,-121.13956,1,Y,U,No Data,060990032041003,50712175030127,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-121.13955999999996 37.47627600000004 0),,,,,,,,,,,,,False
Northmead Elementary,625 L Street,Patterson,CA,95363,2230,37.475504,-121.13825,1,Y,U,No Data,060990032041003,50712176052955,Public Schools,Comcast,Terrestrial Point-to-Point,Fiber Optic,2000000,POINT Z (-121.13824999999997 37.47550400000006 0),,,,,,,,,,,,,False
Stanislaus Elementary,1931 Kiernan Avenue,Modesto,CA,95356,9159,37.711185,-121.02714,1,Y,U,No Data,060990005053002,50712826053078,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-121.02713999999997 37.71118500000006 0),,,,,,,,,,,,,False
Daniel J. Savage Middle,605 Sylvan Avenue,Modesto,CA,95355,8744,37.67199,-120.92928,1,U,U,No Data,060990009134021,50712900108761,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,10000,POINT Z (-120.92927999999995 37.67199000000005 0),,,,,,,,,,,,,False
Crossroads Elementary,5800 Saxon Way,Riverbank,CA,95367,9559,37.722191,-120.94701,1,Y,U,No Data,060990004061018,50712900113795,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,10000,POINT Z (-120.94700999999998 37.722191000000066 0),,,,,,,,,,,,,False
Freedom Elementary,2101 Fine Avenue,Modesto,CA,95355,9771,37.673566,-120.926,1,U,U,http://www.sylvan.k12.ca.us,060990009134021,50712906120430,Public Schools,Unknown/Did not provide,Terrestrial Point-to-Point,Fiber Optic,10000,POINT Z (-120.92599999999999 37.67356600000005 0),,,,,,,,,,,,,False
Adelante High,6801 Seventh Street,Riverbank,CA,95367,5367,37.737004,-120.92894,1,Y,U,http://www.riverbank.k12.ca.us,060990003011009,50755560112573,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-120.92893999999995 37.73700400000007 0),,,,,,,,,,,,,False
Cardozo Middle,3525 Santa Fe Street,Riverbank,CA,95367,2300,37.736998,-120.9307,1,Y,U,No Data,060990003011009,50755566052989,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-120.93069999999994 37.73699800000003 0),,,,,,,,,,,,,False
Lucille Whitehead Intermediate,119 North Reinway Avenue,Waterford,CA,95386,9211,37.638517,-120.77391,1,Y,U,http://www.waterford.k12.ca.us,060990028022016,50755720117770,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-120.77390999999994 37.638517000000036 0),,,,,,,,,,,,,False
Richard M. Moon Primary,319 North Reinway Avenue,Waterford,CA,95386,9187,37.6411,-120.77394,1,Y,U,http://www.waterford.k12.ca.us,060990028022016,50755720118513,Public Schools,Internal Fiber,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-120.77393999999998 37.64110000000005 0),,,,,,,,,,,,,False
Waterford Junior,12916 Bentley Street,Waterford,CA,95386,9017,37.642753,-120.75742,1,Y,U,http://www.waterford.k12.ca.us,060990028012021,50755726053219,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-120.75741999999997 37.64275300000003 0),,,,,,,,,,,,,False
Sandra Tovar Medeiros Elementary,651 West Springer Drive,Turlock,CA,95382,7314,37.532827,-120.85622,1,Y,U,No Data,060990036122009,50757390108175,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,2000000,POINT Z (-120.85621999999995 37.532827000000054 0),,,,,,,,,,,,,False
Walnut Elementary Education Center,4219 North Walnut Road,Turlock,CA,95382,9678,37.532107,-120.86688,1,Y,U,No Data,060990036123018,50757390114561,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,2000000,POINT Z (-120.86687999999998 37.53210700000005 0),,,,,,,,,,,,,False
Wakefield Elementary,400 South Avenue,Turlock,CA,95380,5646,37.485418,-120.85406,1,Y,U,No Data,060990038023002,50757396053193,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,2000000,POINT Z (-120.85405999999995 37.48541800000004 0),,,,,,,,,,,,,False
Lincoln Street,1135 Lincoln Street,Red Bluff,CA,96080,6080,40.178002,-122.24453,1,Y,U,http://www.lincolnstreetschool.org,061030005003081,52105206119606,Public Schools,Internal Fiber,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-122.24452999999994 40.17800200000005 0),,,,,,,,,,,,,False
Tehama eLearning Academy,979 Douglass Street,Red Bluff,CA,96080,3771,40.179112,-122.24665,1,Y,U,http://www.telacademy.org/,061030005003080,52105206119671,Public Schools,Internal Fiber,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-122.24664999999999 40.17911200000003 0),,,,,,,,,,,,,False
Plum Valley Elementary,29950 Plum Creek Road,Paynes Creek,CA,96075,9707,40.311645,-121.89567,1,Y,U,http://antelopeschools.org,061030001001297,52714726053615,Public Schools,Frontier,Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-121.89566999999994 40.311645000000055 0),,,,,,,,,,,,,False
Corning High,643 Blackburn Avenue,Corning,CA,96021,2216,39.935147,-122.17251,1,Y,U,No Data,061030010004005,52715065231709,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.17250999999999 39.93514700000003 0),,,,,,,,,,,,,False
Kirkwood Elementary,2049 Kirkwood Road,Corning,CA,96021,9719,39.903024,-122.17861,1,Y,U,http://www.kirkwoodschoolca.org,061030010002012,52715556053540,Public Schools,"GeoLinks, formerly California Internet",Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-122.17860999999999 39.90302400000007 0),,,,,,,,,,,,,False
Los Molinos High,7900 Sherwood Boulevard,Los Molinos,CA,96055,0609,40.021194,-122.09626,1,Y,U,No Data,061030009002043,52715715235106,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-122.09625999999997 40.02119400000004 0),,,,,,,,,,,,,False
Burnt Ranch Elementary,PO Box 39,Burnt Ranch,CA,95527,0039,40.8091,-123.4796,1,Y,U,No Data,061050002001212,53716626053680,Public Schools,Privately owned by LEA,Terrestrial Point-to-Point,Copper/DSL,100000,POINT Z (-123.47959999999995 40.80910000000006 0),,,,,,,,,,,,,False
Hoaglin-Zenia Elementary,680 Van Duzen Road HC 62 Box 54,Zenia,CA,95595,9602,40.09595,-123.40827,1,Y,U,No Data,061050005004227,53738336053755,Public Schools,Local ISP,Wireless Point-to-Point,Wireless,100000,POINT Z (-123.40826999999996 40.09595000000007 0),,,,,,,,,,,,,False
Hayfork Elementary,PO Box 70,Hayfork,CA,96041,0070,40.558115,-123.10847,1,Y,U,http://www.mvusd.us,061050005002055,53750286053730,Public Schools,Internal Fiber,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-123.10846999999995 40.55811500000004 0),,,,,,,,,,,,,False
University Preparatory High,"915 South Mooney Boulevard, Mariposa Building",Visalia,CA,93277,3277,36.322965,-119.31416,1,Y,U,http://www.tcoe.org/uphs,061070020021005,54105460119602,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,45000,POINT Z (-119.31415999999996 36.32296500000007 0),,,,,,,,,,,,,False
Sycamore Valley Academy,6832 Avenue 280,Visalia,CA,93277,9429,36.298371,-119.42088,1,Y,U,http://www.sycamorevalleyacademy.org,061070020061039,54105460125542,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-119.42087999999995 36.29837100000003 0),,,,,,,,,,,,,False
Eleanor Roosevelt Community Learning Center,31191 Road 180,Visalia,CA,93292,9585,36.360255,-119.17135,1,Y,U,http://www.erclc.org,061070008022079,54105466119291,Public Schools,Comcast,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-119.17134999999996 36.36025500000005 0),,,,,,,,,,,,,False
Alpaugh -Senior High,PO Box 9,Alpaugh,CA,93201,0009,35.8862,-119.48497,1,Y,U,No Data,061070043021092,54718035430301,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-119.48496999999998 35.88620000000003 0),,,,,,,,,,,,,False
Alpaugh Elementary,PO Box 9,Alpaugh,CA,93201,0009,35.8862,-119.48497,1,Y,U,No Data,061070043021092,54718036053847,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-119.48496999999998 35.88620000000003 0),,,,,,,,,,,,,False
Columbine Elementary,2240 Road 160,Delano,CA,93215,9420,35.814548,-119.21459,1,Y,U,No Data,061070043011141,54718526053896,Public Schools,Local ISP,Unknown/Did not provide,Unknown/Did not provide,1540,POINT Z (-119.21458999999999 35.81454800000006 0),,,,,,,,,,,,,False
Cutler Elementary,40532 Road 128,Cutler,CA,93615,2109,36.525382,-119.28677,1,Y,U,http://cut.cojusd.org/,061070006001014,54718606053904,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.28676999999999 36.525382000000036 0),,,,,,,,,,,,,False
El Monte Middle,42111 Road 128,Orosi,CA,93647,9749,36.554058,-119.28705,1,Y,U,http://elm.cojusd.org/,061070002031004,54718606118111,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.28704999999997 36.554058000000055 0),,,,,,,,,,,,,False
Hot Springs Elementary,PO Box 38,California Hot Springs,CA,93207,3207,35.863808,-118.79129,1,Y,U,http://www.tcoe.net/districts/hotsprings.shtm,061070027012125,54719516054100,Public Schools,Internal Fiber,Commercial/Residential,Copper/DSL,100000,POINT Z (-118.79128999999995 35.86380800000006 0),,,,,,,,,,,,,False
Kennedy Elementary,1701 East Tulare Road,Lindsay,CA,93247,2262,36.210856,-119.0688,1,Y,U,http://kennedy.lindsay.k12.ca.us/,061070025004017,54719930123653,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.06879999999995 36.210856000000035 0),,,,,,,,,,,,,False
Lindsay Senior High,1849 East Tulare Road,Lindsay,CA,93247,9711,36.210811,-119.06484,1,Y,U,http://lhs.lindsay.k12.ca.us/,061070025004017,54719935432414,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.06483999999995 36.210811000000035 0),,,,,,,,,,,,,False
Washington Elementary,451 East Samoa Street,Lindsay,CA,93247,2160,36.205195,-119.0867,1,Y,U,http://washington.lindsay.k12.ca.us/,061070026024009,54719936054159,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.08669999999995 36.20519500000006 0),,,,,,,,,,,,,False
Lincoln Elementary,851 North Stanford Avenue,Lindsay,CA,93247,1700,36.213457,-119.07981,1,Y,U,http://www.lindsay.k12.ca.us/lincoln/,061070026021018,54719936107262,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,10000000,POINT Z (-119.07980999999995 36.21345700000006 0),,,,,,,,,,,,,False
Monson-Sultana Elementary,PO Box 25,Dinuba,CA,93618,3618,36.545148,-119.33473,1,Y,U,http://www.msschool.org,061070003041028,54720096054167,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-119.33472999999998 36.54514800000004 0),,,,,,,,,,,,,False
Oak Valley Elementary,24500 Road 68,Tulare,CA,93274,9607,36.233555,-119.42108,1,Y,U,http://www.oakvalleyschool.org,061070021001032,54720176054175,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-119.42107999999996 36.233555000000024 0),,,,,,,,,,,,,False
Buena Vista Community Day,14004 Road 184,Porterville,CA,93257,9061,36.043624,-119.16128,1,Y,U,No Data,061070032013050,54720580111740,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,1540,POINT Z (-119.16127999999998 36.04362400000008 0),,,,,,,,,,,,,False
Pleasant View Elementary,14004 Road 184,Porterville,CA,93257,9214,36.043624,-119.16128,1,Y,U,http://www.pleasant-view.k12.ca.us,061070032013050,54720586054217,Public Schools,Spectrum (TWC & Charter),Commercial/Residential,Copper/DSL,1540,POINT Z (-119.16127999999998 36.04362400000008 0),,,,,,,,,,,,,False
Stone Corral Elementary,15590 Avenue 383,Visalia,CA,93292,9545,36.484109,-119.22685,1,Y,U,No Data,061070008021010,54721406054373,Public Schools,Comcast,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-119.22684999999996 36.484109000000046 0),,,,,,,,,,,,,False
Strathmore Elementary,PO Box 247,Strathmore,CA,93267,3267,36.14964,-119.05726,1,Y,U,http://www.suesd.k12.ca.us,061070033012001,54721570114595,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-119.05725999999999 36.14964000000003 0),,,,,,,,,,,,,False
Strathmore Community Day,PO Box 247,Strathmore,CA,93267,3267,36.14967,-119.05728,1,Y,U,No Data,061070033012001,54721576120646,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-119.05727999999999 36.14967000000007 0),,,,,,,,,,,,,False
Sundale Elementary,1704 Target Avenue,Tulare,CA,93274,9563,36.225799,-119.26176,1,Y,U,No Data,061070024023017,54721736054399,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,155000,POINT Z (-119.26175999999998 36.22579900000005 0),,,,,,,,,,,,,False
Sunnyside Elementary,21644 Avenue 196,Strathmore,CA,93267,9795,36.145495,-119.08844,1,Y,U,No Data,061070033023007,54721816054407,Public Schools,Vast Networks,Terrestrial Point-to-Point,Fiber Optic,100000,POINT Z (-119.08843999999999 36.14549500000004 0),,,,,,,,,,,,,False
Los Tules Middle,801 West Gail Avenue,Tulare,CA,93274,1236,36.229306,-119.35937,1,Y,U,http://lostules.tcsdk8.org/,061070021002047,54722310100495,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.35936999999996 36.229306000000065 0),,,,,,,,,,,,,False
Tulare Support,909 East Cedar Avenue,Tulare,CA,93274,5615,36.199568,-119.33563,1,Y,U,No Data,061070029012085,54722310125211,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.33562999999998 36.199568000000056 0),,,,,,,,,,,,,False
Mulcahy Middle,1001 West Sonora Avenue,Tulare,CA,93274,5041,36.200707,-119.36102,1,Y,U,http://mulcahy.tcsdk8.org/,061070030013015,54722316054456,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.36101999999994 36.20070700000008 0),,,,,,,,,,,,,False
Lincoln Elementary,909 East Cedar Avenue,Tulare,CA,93274,5615,36.199547,-119.3356,1,Y,U,http://lincoln.tcsdk8.org/,061070029012085,54722316054498,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.33559999999994 36.19954700000005 0),,,,,,,,,,,,,False
Maple Elementary,640 West Cross Avenue,Tulare,CA,93274,2616,36.211792,-119.35753,1,Y,U,http://maple.tcsdk8.org/,061070022042010,54722316054506,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.35752999999994 36.21179200000006 0),,,,,,,,,,,,,False
Cypress Elementary,1870 South Laspina Street,Tulare,CA,93274,6962,36.188139,-119.3244,1,Y,U,http://cypress.tcsdk8.org/,061070029042017,54722316105381,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.32439999999997 36.188139000000035 0),,,,,,,,,,,,,False
Tulare City Community Day,909 East Cedar Avenue,Tulare,CA,93274,5615,36.199568,-119.33563,1,Y,U,No Data,061070029012085,54722316116768,Public Schools,AT&T,Terrestrial Point-to-Point,Fiber Optic,5000000,POINT Z (-119.33562999999998 36.199568000000056 0),,,,,,,,,,,,,False
Countryside Community Day,1084 South Pratt Street,Tulare,CA,93274,6303,36.19566,-119.35712,1,Y,U,No Data,061070030022008,54722490107649,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-119.35711999999995 36.19566000000003 0),,,,,,,,,,,,,False
Sierra Vista Charter High,351 North K Street,Tulare,CA,93274,4007,36.21145,-119.34695,1,Y,U,No Data,061070023041011,54722490130708,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-119.34694999999999 36.21145000000007 0),,,,,,,,,,,,,False
Tulare Technical Preparatory High,737 West Bardsley Avenue,Tulare,CA,93274,5005,36.19643,-119.35573,1,Y,U,No Data,061070030022008,54722495430145,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-119.35573 36.19643000000008 0),,,,,,,,,,,,,False
Tulare Union High,755 East Tulare Avenue,Tulare,CA,93274,4353,36.209189,-119.3385,1,Y,U,No Data,061070029011011,54722495435409,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-119.33849999999995 36.20918900000004 0),,,,,,,,,,,,,False
Tulare Western High,824 West Maple Avenue,Tulare,CA,93274,2699,36.214632,-119.36041,1,Y,U,No Data,061070022042006,54722495435466,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,10000000,POINT Z (-119.36040999999994 36.21463200000005 0),,,,,,,,,,,,,False
Ridgeview Middle,3315 North Akers Street,Visalia,CA,93291,9689,36.356973,-119.34997,1,Y,U,http://www.vusd.org,061070010082011,54722560133819,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,2000000,POINT Z (-119.34996999999998 36.35697300000004 0),,,,,,,,,,,,,False
Golden West High,1717 North McAuliff Street,Visalia,CA,93292,9310,36.343211,-119.25214,1,Y,U,http://www.vusd.org,061070013042005,54722565430046,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,2000000,POINT Z (-119.25213999999994 36.34321100000005 0),,,,,,,,,,,,,False
Ivanhoe Elementary,16030 Avenue 332,Ivanhoe,CA,93235,0158,36.392355,-119.21527,1,Y,U,http://www.vusd.org,061070008012004,54722566054639,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,500000,POINT Z (-119.21526999999998 36.392355000000066 0),,,,,,,,,,,,,False
Crestwood Elementary,3001 West Whitendale Avenue,Visalia,CA,93277,6077,36.305564,-119.32383,1,Y,U,http://www.vusd.org,061070020034000,54722566054688,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,500000,POINT Z (-119.32382999999999 36.30556400000006 0),,,,,,,,,,,,,False
